id,price,year,odometer,cylinders,transmission,drive,type,paint_color,size,title_status,condition,fuel,state,manufacturer,description_length,description_credit,description_owner,description_badcredit
7234568651,44989,2015,71639,8,automatic,4wd,truck,,,clean,,diesel,or,ford,,0,0,0
7229694925,39988,2017,108531,,automatic,,other,silver,,clean,,gas,sc,ford,2904,1,1,1
7237581553,25990,2017,48931,,automatic,,other,blue,,clean,good,hybrid,ca,toyota,4550,1,0,0
7235261085,18990,2011,97792,8,other,,sedan,,,clean,good,gas,va,lexus,4440,1,0,0
7235871752,39995,2017,121365,,automatic,4wd,,white,,clean,excellent,diesel,ms,ford,2673,1,0,0
7232639003,7950,2014,123100,4,manual,4wd,SUV,silver,compact,clean,excellent,gas,nc,jeep,126,0,0,0
7236771267,4300,2007,,6,automatic,,,,,clean,good,gas,ny,nissan,124,0,0,0
7234226623,19999,1938,97676,8,manual,,sedan,yellow,,clean,good,gas,oh,cadillac,579,0,0,0
7239992679,14998,2016,80240,4,automatic,fwd,hatchback,white,mid-size,clean,,hybrid,ca,toyota,9742,1,0,1
7236903124,15480,2014,39982,6,automatic,fwd,SUV,silver,mid-size,clean,,gas,fl,ford,,0,0,0
7237076131,23695,2017,50157,,automatic,,,,,clean,,gas,ct,volkswagen,1805,0,0,0
7236866028,8995,2012,88593,6,automatic,fwd,van,red,full-size,clean,good,gas,pa,dodge,2397,0,0,0
7240657821,28780,2015,38725,8,automatic,rwd,coupe,white,,clean,,gas,nh,dodge,4248,0,1,0
7238455885,29752,2016,72096,6,automatic,4wd,truck,red,full-size,clean,like new,gas,ar,ford,351,0,0,0
7239935327,3200,2009,138000,4,automatic,fwd,sedan,,compact,clean,excellent,gas,mn,chevrolet,3369,1,0,1
7228726021,30995,2017,48481,6,automatic,4wd,SUV,blue,,clean,good,gas,pa,jaguar,1616,0,1,0
7240170700,10999,2016,88288,,automatic,fwd,hatchback,black,,clean,,gas,ca,jeep,3448,1,0,1
7232273367,35033,2016,3626,,automatic,,,,,clean,excellent,gas,nm,honda,495,0,0,0
7240583687,11795,2008,124947,8,automatic,4wd,SUV,custom,full-size,clean,good,gas,co,chevrolet,1235,0,0,0
7225881575,27590,2014,48273,8,other,,SUV,white,,clean,good,other,tx,lincoln,4030,1,0,0
7229481328,27000,2013,106038,,automatic,,coupe,,,clean,,gas,wa,chevrolet,4743,1,0,0
7229236814,19900,2012,228441,10,automatic,4wd,,white,,clean,,gas,tn,ford,486,0,1,0
7240534204,28995,2018,102611,,automatic,,other,silver,,clean,,other,tx,chevrolet,2847,0,1,0
7237194948,12000,2013,353000,,automatic,4wd,,,,clean,,diesel,or,ford,1070,1,0,0
7237340841,11200,2017,43639,4,manual,fwd,sedan,blue,compact,clean,excellent,gas,ny,volkswagen,61,0,0,0
7234490756,13000,2006,79000,,manual,,coupe,blue,,clean,,gas,nm,ford,688,0,0,0
7237884766,3200,2004,200000,,automatic,rwd,,grey,,clean,excellent,gas,fl,chevrolet,448,0,0,0
7234043003,4200,2007,143672,6,automatic,rwd,sedan,grey,full-size,clean,excellent,gas,nj,chrysler,1023,0,0,0
7240493135,11999,2010,124311,8,automatic,4wd,,,,clean,excellent,gas,ny,gmc,3679,0,0,0
7234930520,3995,2008,164,,automatic,,,,,clean,like new,gas,me,pontiac,5289,0,0,0
7233547614,9499,2016,107770,,automatic,,sedan,silver,compact,clean,,gas,tn,chevrolet,2682,1,0,1
7230928621,3500,2007,188000,6,automatic,4wd,sedan,red,full-size,clean,fair,gas,co,ford,434,0,1,0
7226290680,13980,2015,127175,,automatic,,,,,clean,,gas,sc,gmc,2006,1,0,0
7240647647,19500,2018,22618,4,automatic,4wd,SUV,blue,,clean,,gas,mn,chevrolet,4834,1,1,1
7226741527,8995,2010,150135,,automatic,4wd,,green,,clean,excellent,gas,ca,honda,1261,1,0,0
7235909978,5895,2006,129055,,automatic,,pickup,blue,full-size,clean,excellent,gas,ok,ford,1443,1,1,1
7235815546,12495,2010,121003,6,automatic,fwd,SUV,green,,clean,,gas,az,toyota,6236,1,0,1
7234512394,5500,2004,,6,automatic,,,red,,clean,excellent,gas,ca,mitsubishi,369,0,0,0
7239320893,7995,2011,217885,,automatic,,,,,clean,,gas,mi,chevrolet,6393,0,1,0
7240800149,6900,2012,118920,4,automatic,,SUV,,full-size,clean,excellent,gas,va,chevrolet,855,0,0,0
7240544953,36000,2017,50000,8,automatic,4wd,pickup,silver,full-size,clean,excellent,gas,wa,ram,234,0,0,0
